"","V1","V2","V3","V4"
"1",0.778525768071155,0.906960471174271,0.926973035310073,0.921506009647342
"2",0.661035670842688,0.850891732371166,0.882159199327147,0.873573318633686
"3",0.661035670842688,0.850891732371166,0.882159199327147,0.873573318633686
"4",0.422037050052785,0.714264045202387,0.770052711552115,0.754516058804625
"5",0.422037050052785,0.714264045202387,0.770052711552115,0.754516058804625
"6",0.398456184209878,0.698423147155134,0.75675823720895,0.740483209454226
"7",0.474512043381004,0.747674005967791,0.797878593363398,0.783948256956001
"8",0.535165083175858,0.783591983616989,0.827485179322834,0.815351949657667
"9",0.612871984499073,0.82614894913219,0.862174759157677,0.852258652308886
"10",0.612871984499073,0.82614894913219,0.862174759157677,0.852258652308886
"11",0.716042452101514,0.877839874084452,0.903777732449031,0.896673276668915
"12",0.778525768071155,0.906960471174271,0.926973035310073,0.921506009647342
"13",0.612871984499073,0.82614894913219,0.862174759157677,0.852258652308886
"14",0.661035670842688,0.850891732371166,0.882159199327147,0.873573318633686
"15",0.661035670842688,0.850891732371166,0.882159199327147,0.873573318633686
"16",0.778525768071155,0.906960471174271,0.926973035310073,0.921506009647342
"17",0.778525768071155,0.906960471174271,0.926973035310073,0.921506009647342
"18",0.535165083175858,0.783591983616989,0.827485179322834,0.815351949657667
"19",0.503501055607838,0.765169991038203,0.812339029862178,0.799275284250418
"20",0.535165083175858,0.783591983616989,0.827485179322834,0.815351949657667
"21",0.535165083175858,0.783591983616989,0.827485179322834,0.815351949657667
"22",0.535165083175858,0.783591983616989,0.827485179322834,0.815351949657667
"23",0.778525768071155,0.906960471174271,0.926973035310073,0.921506009647342
"24",0.57114314628182,0.803734108746575,0.843954817814508,0.832859471390586
"25",0.503501055607838,0.765169991038203,0.812339029862178,0.799275284250418
"26",0.57114314628182,0.803734108746575,0.843954817814508,0.832859471390586
"27",0.661035670842688,0.850891732371166,0.882159199327147,0.873573318633686
"28",0.778525768071155,0.906960471174271,0.926973035310073,0.921506009647342
"29",0.661035670842688,0.850891732371166,0.882159199327147,0.873573318633686
"30",0.612871984499073,0.82614894913219,0.862174759157677,0.852258652308886
"31",0.661035670842688,0.850891732371166,0.882159199327147,0.873573318633686
"32",0.849826363384467,0.938498338752023,0.951906846066085,0.948254061014476
"33",0.849826363384467,0.938498338752023,0.951906846066085,0.948254061014476
"34",0.661035670842688,0.850891732371166,0.882159199327147,0.873573318633686
"35",0.474512043381004,0.747674005967791,0.797878593363398,0.783948256956001
"36",0.422037050052785,0.714264045202387,0.770052711552115,0.754516058804625
"37",0.398456184209878,0.698423147155134,0.75675823720895,0.740483209454226
"38",0.357103950747644,0.669200980266075,0.732054823931173,0.714459041908237
"39",0.422037050052785,0.714264045202387,0.770052711552115,0.754516058804625
"40",0.57114314628182,0.803734108746575,0.843954817814508,0.832859471390586
"41",0.778525768071155,0.906960471174271,0.926973035310073,0.921506009647342
"42",0.849826363384467,0.938498338752023,0.951906846066085,0.948254061014476
"43",0.716042452101514,0.877839874084452,0.903777732449031,0.896673276668915
